name,brand,category,dimensions,description,image_url,galeria_urls,file_2d_url,file_3d_url
Poltrona Verena,"Folio + Estúdio Felipe Madeira MOBILIÁRIO EXCLUSIVO BOOBAM Encontre nas lojas físicas ou online CLIQUE AQUI – SITE BOOBAM Encontre uma loja mais próxima Galeria Descrição Com alma vintage, a poltrona Verena reverência proporções e linhas do modernismo brasileiro, ao mesmo tempo em que afirma uma presença precisa e contemporânea",Poltrona,,"Com alma vintage, a poltrona Verena reverência proporções e linhas do modernismo brasileiro, ao mesmo tempo em que afirma uma presença precisa e contemporânea. Resultado de um estudo atento da produção do mobiliário das décadas de 60 e 70, esta peça foi pensada para um sentar desacelerado, que convida a permanecer, conversar e habitar o tempo com tranquilidade.Folio + Estúdio Felipe Madeira para Boobam. Disponível na Rua Fradique Coutinho, 967 – São Paulo, na Rua Garcia d’Ávila, 73 – Ipanema, Rio de Janeiro ou no site online. MOBILIÁRIO EXCLUSIVO BOOBAM.",https://folioliving.com.br/assets/uploads/2026/05/1-scaled.jpg,"[""https://folioliving.com.br/assets/uploads/2026/05/4-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/05/2-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/05/8-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/05/9-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/05/3-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/05/6-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/05/7-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/05/5-scaled.jpg""]",,https://3dwarehouse.sketchup.com/model/f461bb0e-b90b-449c-ab5d-52991248b013/Poltrona-Puff-Verena
Poltrona Canoa,Ricardo Van Steen A partir de: R$41,Poltrona,"080x094x073 *Mobiliário com ampla personalização, variando os valores de acordo com o acabamento e dimensão escolhidos* solicite seu orçamento Encontre uma loja mais próxima Galeria Descrição A poltrona Canoa, de Ricardo Van Steen, é uma peça de forte expressão modernista, inspirada na paisagem de Paraty e nas canoas que pontuam o mar da cidade","A poltrona Canoa, de Ricardo Van Steen, é uma peça de forte expressão modernista, inspirada na paisagem de Paraty e nas canoas que pontuam o mar da cidade. Suas linhas fluidas e alongadas evocam o desenho dessas embarcações, traduzido em uma forma elegante e acolhedora.",https://folioliving.com.br/assets/uploads/2026/04/1-6-scaled.jpg,"[""https://folioliving.com.br/assets/uploads/2026/04/5-5-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/7-2-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/6-4-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/2-3-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/3-4-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/4-4-scaled.jpg""]",,https://3dwarehouse.sketchup.com/model/651b4892-e404-433d-9063-525b4040be97/Poltrona-Canoa
Poltrona Piranga,Ricardo Van Steen A partir de: R$39,Poltrona,"110x100x070 *Mobiliário com ampla personalização, variando os valores de acordo com o acabamento e dimensão escolhidos* solicite seu orçamento Encontre uma loja mais próxima Galeria Descrição A poltrona Piranga, de Ricardo Van Steen, é inspirada na forma de uma tartaruga brasileira, trazendo um design marcante de volume arredondado","A poltrona Piranga, de Ricardo Van Steen, é inspirada na forma de uma tartaruga brasileira, trazendo um design marcante de volume arredondado. Seu principal destaque está nas camadas de tecido enrugado, que criam textura e profundidade visual, ao mesmo tempo em que reforçam a sensação de aconchego. Apesar do visual escultural, é uma peça extremamente confortável, pensada para envolver o corpo com suavidade.",https://folioliving.com.br/assets/uploads/2026/04/POLTRONA-PIRANGA-scaled.jpg,"[""https://folioliving.com.br/assets/uploads/2026/04/3-6-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/1-9-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/2-5-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/4-5-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/6-5-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/5-6-scaled.jpg""]",,
Poltrona Tinga,Ricardo Van Steen A partir de: R$35,Poltrona,"102x080x068 *Mobiliário com ampla personalização, variando os valores de acordo com o acabamento e dimensão escolhidos* solicite seu orçamento Encontre uma loja mais próxima Galeria Descrição A poltrona Tinga revela uma linguagem escultural de volumes contínuos, evocando a silhueta serena da tartaruga brasileira","A poltrona Tinga revela uma linguagem escultural de volumes contínuos, evocando a silhueta serena da tartaruga brasileira. Suas formas generosas e bem resolvidas criam um gesto envolvente, onde o assento parece flutuar dentro de uma concha acolhedora. Um equilíbrio preciso entre sofisticação tátil e presença arquitetônica, pensado para compor ambientes com identidade.",https://folioliving.com.br/assets/uploads/2026/04/7-5-scaled.jpg,"[""https://folioliving.com.br/assets/uploads/2026/04/2-9-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/1-15-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/4-8-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/3-10-scaled.jpg""]",,
Poltrona Siesta Metal,Ricardo Van Steen A partir de: R$34,Poltrona,"076x095x076 *Mobiliário com ampla personalização, variando os valores de acordo com o acabamento e dimensão escolhidos* solicite seu orçamento Encontre uma loja mais próxima Galeria Descrição A poltrona Siesta Metal explora um desenho contínuo em balanço, com uma estrutura de traço preciso que envolve o corpo da peça de forma quase linear","A poltrona Siesta Metal explora um desenho contínuo em balanço, com uma estrutura de traço preciso que envolve o corpo da peça de forma quase linear. O assento, formado por módulos segmentados, cria uma superfície flexível que acompanha o relaxamento, enquanto a face inferior revela um padrão perfurado ou não que reforça sua linguagem técnica. Adaptável a diferentes contextos, transita com naturalidade entre ambientes internos e externos.",https://folioliving.com.br/assets/uploads/2026/04/1-14-scaled.jpg,"[""https://folioliving.com.br/assets/uploads/2026/04/5-9-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/4-7-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/3-9-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/2-8-scaled.jpg""]",,https://3dwarehouse.sketchup.com/model/466b048c-37d5-4ae2-a1e7-8621736e6f5f/Poltrona-Siesta-Metal
Poltrona Siesta Balanço,Ricardo Van Steen A partir de: R$33,Poltrona,"076x095x076 *Mobiliário com ampla personalização, variando os valores de acordo com o acabamento e dimensão escolhidos* solicite seu orçamento Encontre uma loja mais próxima Galeria Descrição A poltrona Siesta revela o modernismo brasileiro em sua lateral contínua e esculpida, onde a madeira maciça desenha um volume único, quase monolítico, marcado por encaixes aparentes que evidenciam sua construção","A poltrona Siesta revela o modernismo brasileiro em sua lateral contínua e esculpida, onde a madeira maciça desenha um volume único, quase monolítico, marcado por encaixes aparentes que evidenciam sua construção. O estofado se acomoda dentro da estrutura como um convite ao descanso. Versão em balanço.",https://folioliving.com.br/assets/uploads/2026/04/1-10-scaled.jpg,"[""https://folioliving.com.br/assets/uploads/2026/04/6-6-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/4-6-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/7-3-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/5-7-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/3-7-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/2-6-scaled.jpg""]",,https://3dwarehouse.sketchup.com/model/0685edf3-0390-4c55-9b38-323c74e4fe3b/Poltrona-Siesta-Balan%C3%A7o
Mesa de Jantar Piano,Ricardo Van Steen A partir de: R$43,Mesa de Jantar,"185x090x076 *Mobiliário com ampla personalização, variando os valores de acordo com o acabamento e dimensão escolhidos* solicite seu orçamento Encontre uma loja mais próxima Galeria Descrição A mesa de jantar Piano, assinada por Ricardo Van Steen , destaca-se pelo caráter escultórico e contemporâneo, combinando uma estrutura leve em aço carbono com um tampo enriquecido por cerâmicas artesanais aplicadas manualmente","A mesa de jantar Piano, assinada porRicardo Van Steen, destaca-se pelo caráter escultórico e contemporâneo, combinando uma estrutura leve em aço carbono com um tampo enriquecido por cerâmicas artesanais aplicadas manualmente. Essa composição une precisão industrial e expressão artesanal, criando uma peça única, marcada por textura, variações cromáticas e forte presença estética no ambiente.",https://folioliving.com.br/assets/uploads/2026/04/1-3-scaled.jpg,"[""https://folioliving.com.br/assets/uploads/2026/04/4-2-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/2-1-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/5-3-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/9-1-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/3-2-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/6-2-scaled.jpg""]",,https://3dwarehouse.sketchup.com/model/d2a16519-2b3f-463b-96a2-e4302f487414/Mesa-de-Jantar-Piano
Cômoda Taormina,Ricardo Van Steen A partir de: R$51,Cômoda,"280x120x075 *Mobiliário com ampla personalização, variando os valores de acordo com o acabamento e dimensão escolhidos* solicite seu orçamento Encontre uma loja mais próxima Galeria Descrição A Cômoda Taormina, de Ricardo Van Steen, se destaca pelo uso expressivo de materiais e pelo caráter artesanal de sua composição","A Cômoda Taormina, de Ricardo Van Steen, se destaca pelo uso expressivo de materiais e pelo caráter artesanal de sua composição. Suas portas e laterais são revestidas em ripado de lajota artesanal, criando uma superfície rica em textura, profundidade e variações naturais. O desenho equilibra volumes sólidos e linhas limpas, valorizando o contraste entre a base mais leve e o corpo marcante da peça.",https://folioliving.com.br/assets/uploads/2026/04/1-1-scaled.jpg,"[""https://folioliving.com.br/assets/uploads/2026/04/4-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/3-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/5-1-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/2-scaled.jpg""]",,
Mesa de Centro Piano Redonda,Ricardo Van Steen A partir de: R$13,Mesa de Centro,"075Øx038H *Mobiliário com ampla personalização, variando os valores de acordo com o acabamento e dimensão escolhidos* solicite seu orçamento Encontre uma loja mais próxima Galeria Descrição A mesa de centro Piano redonda, assinada por Ricardo Van Steen, combina sofisticação e leveza estrutural em um design contemporâneo","A mesa de centro Piano redonda, assinada por Ricardo Van Steen, combina sofisticação e leveza estrutural em um design contemporâneo. Seu tampo em ardósia polido tem superfície lisa e destaca a textura natural da pedra. A base em estrutura Lumen brilho, com linhas retas e geometria cruzada, cria contraste com o formato circular do tampo e reforça a estabilidade da peça.",https://folioliving.com.br/assets/uploads/2026/04/2-capa-1-scaled.jpg,"[""https://folioliving.com.br/assets/uploads/2026/04/5-2-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/6-1-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/4-1-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/3-1-scaled.jpg""]",,
Mesa Lateral Piano Redonda,Ricardo Van Steen A partir de: R$11,Mesa Lateral,"060Øx049H *Mobiliário com ampla personalização, variando os valores de acordo com o acabamento e dimensão escolhidos* solicite seu orçamento Encontre uma loja mais próxima Galeria Descrição A mesa lateral Piano, de Ricardo Van Steen, traduz a mesma linguagem contemporânea da linha em uma escala mais compacta e versátil","A mesa lateral Piano, de Ricardo Van Steen, traduz a mesma linguagem contemporânea da linha em uma escala mais compacta e versátil. Com estrutura em aço carbono e acabamento refinado, a peça ganha destaque pelo tampo, que pode ser produzido em cerâmica artesanal aplicada manualmente ou em vidro fusing colorido, oferecendo diferentes possibilidades estéticas.",https://folioliving.com.br/assets/uploads/2026/04/1-4-scaled.jpg,"[""https://folioliving.com.br/assets/uploads/2026/04/5-4-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/3-3-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/8-1-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/7-1-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/2-2-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/4-3-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/1-5-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/6-3-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/9-2-scaled.jpg"", ""https://folioliving.com.br/assets/uploads/2026/04/10-1-scaled.jpg""]",,https://3dwarehouse.sketchup.com/model/92f2603c-6dc9-4b23-96f4-df6007e95b05/Mesa-Lateral-Piano-Redonda
